Summary:	This is a 31x10 grid;
Number of Dimensions:	2;
Coordinate System:	Spherical_2;
Ordered:	true;
Is Electric Field Defined:	false;
5.6525	7.5	0.9
5.73	8	0.9
5.8125	8.5	0.9
5.9	9	0.9
5.9925	9.5	0.9
6.09	10	0.9
6.1925	10.5	0.9
6.3	11	0.9
6.4125	11.5	0.9
6.53	12	0.9
6.6525	12.5	0.9
6.78	13	0.9
6.9125	13.5	0.9
7.05	14	0.9
7.1925	14.5	0.9
7.34	15	0.9
5.12	0.2	1.2
5.1225	0.5	1.2
5.13	1	1.2
5.1425	1.5	1.2
5.16	2	1.2
5.1825	2.5	1.2
5.21	3	1.2
5.2425	3.5	1.2
5.28	4	1.2
5.3225	4.5	1.2
5.37	5	1.2
5.4225	5.5	1.2
5.48	6	1.2
5.5425	6.5	1.2
5.61	7	1.2
5.6825	7.5	1.2
5.76	8	1.2
5.8425	8.5	1.2
5.93	9	1.2
6.0225	9.5	1.2
6.12	10	1.2
6.2225	10.5	1.2
6.33	11	1.2
6.4425	11.5	1.2
6.56	12	1.2
6.6825	12.5	1.2
6.81	13	1.2
6.9425	13.5	1.2
7.08	14	1.2
7.2225	14.5	1.2
7.37	15	1.2
5.15	0.2	1.5
5.1525	0.5	1.5
5.16	1	1.5
5.1725	1.5	1.5
5.19	2	1.5
5.2125	2.5	1.5
5.24	3	1.5
5.2725	3.5	1.5
5.31	4	1.5
5.3525	4.5	1.5
5.4	5	1.5
5.4525	5.5	1.5
5.51	6	1.5
5.5725	6.5	1.5
5.64	7	1.5
5.7125	7.5	1.5
5.79	8	1.5
5.8725	8.5	1.5
5.96	9	1.5
6.0525	9.5	1.5
6.15	10	1.5
6.2525	10.5	1.5
6.36	11	1.5
6.4725	11.5	1.5
6.59	12	1.5
6.7125	12.5	1.5
6.84	13	1.5
6.9725	13.5	1.5
7.11	14	1.5
7.2525	14.5	1.5
7.4	15	1.5
5.18	0.2	1.8
5.1825	0.5	1.8
5.19	1	1.8
5.2025	1.5	1.8
5.22	2	1.8
5.2425	2.5	1.8
5.27	3	1.8
5.3025	3.5	1.8
5.34	4	1.8
5.3825	4.5	1.8
5.43	5	1.8
5.4825	5.5	1.8
5.54	6	1.8
5.6025	6.5	1.8
5.67	7	1.8
5.7425	7.5	1.8
5.82	8	1.8
5.9025	8.5	1.8
5.99	9	1.8
6.0825	9.5	1.8
6.18	10	1.8
6.2825	10.5	1.8
6.39	11	1.8
6.5025	11.5	1.8
6.62	12	1.8
6.7425	12.5	1.8
6.87	13	1.8
7.0025	13.5	1.8
7.14	14	1.8
7.2825	14.5	1.8
7.43	15	1.8
5.21	0.2	2.1
5.2125	0.5	2.1
5.22	1	2.1
5.2325	1.5	2.1
5.25	2	2.1
5.2725	2.5	2.1
5.3	3	2.1
5.3325	3.5	2.1
5.37	4	2.1
5.4125	4.5	2.1
5.46	5	2.1
5.5125	5.5	2.1
5.57	6	2.1
5.6325	6.5	2.1
5.7	7	2.1
5.7725	7.5	2.1
5.85	8	2.1
5.9325	8.5	2.1
6.02	9	2.1
6.1125	9.5	2.1
6.21	10	2.1
6.3125	10.5	2.1
6.42	11	2.1
6.5325	11.5	2.1
6.65	12	2.1
6.7725	12.5	2.1
6.9	13	2.1
7.0325	13.5	2.1
7.17	14	2.1
7.3125	14.5	2.1
7.46	15	2.1
5.24	0.2	2.4
5.2425	0.5	2.4
5.25	1	2.4
5.2625	1.5	2.4
5.28	2	2.4
5.3025	2.5	2.4
5.33	3	2.4
5.3625	3.5	2.4
5.4	4	2.4
5.4425	4.5	2.4
5.49	5	2.4
5.5425	5.5	2.4
5.6	6	2.4
5.6625	6.5	2.4
5.73	7	2.4
5.8025	7.5	2.4
5.88	8	2.4
5.9625	8.5	2.4
6.05	9	2.4
6.1425	9.5	2.4
6.24	10	2.4
6.3425	10.5	2.4
6.45	11	2.4
6.5625	11.5	2.4
6.68	12	2.4
6.8025	12.5	2.4
6.93	13	2.4
7.0625	13.5	2.4
7.2	14	2.4
7.3425	14.5	2.4
7.49	15	2.4
5.27	0.2	2.7
5.2725	0.5	2.7
5.28	1	2.7
5.2925	1.5	2.7
5.31	2	2.7
5.3325	2.5	2.7
5.36	3	2.7
5.3925	3.5	2.7
5.43	4	2.7
5.4725	4.5	2.7
5.52	5	2.7
5.5725	5.5	2.7
5.63	6	2.7
5.6925	6.5	2.7
5.76	7	2.7
5.8325	7.5	2.7
5.91	8	2.7
5.9925	8.5	2.7
6.08	9	2.7
6.1725	9.5	2.7
6.27	10	2.7
6.3725	10.5	2.7
6.48	11	2.7
6.5925	11.5	2.7
6.71	12	2.7
6.8325	12.5	2.7
6.96	13	2.7
7.0925	13.5	2.7
7.23	14	2.7
7.3725	14.5	2.7
7.52	15	2.7
