Summary:	This is a 21x21 grid;
Number of Dimensions:	2;
Coordinate System:	Cartesian_2;
Ordered:	true;
Is Electric Field Defined:	false;
8.96	-16	14
8.36	-14	14
7.84	-12	14
7.4	-10	14
7.04	-8	14
6.76	-6	14
6.56	-4	14
6.44	-2	14
6.4	0	14
6.44	2	14
6.56	4	14
6.76	6	14
7.04	8	14
7.4	10	14
7.84	12	14
8.36	14	14
8.96	16	14
9.64	18	14
10.4	20	14
10.6	-20	16
9.84	-18	16
9.16	-16	16
8.56	-14	16
8.04	-12	16
7.6	-10	16
7.24	-8	16
6.96	-6	16
6.76	-4	16
6.64	-2	16
6.6	0	16
6.64	2	16
6.76	4	16
6.96	6	16
7.24	8	16
7.6	10	16
8.04	12	16
8.56	14	16
9.16	16	16
9.84	18	16
10.6	20	16
10.8	-20	18
10.04	-18	18
9.36	-16	18
8.76	-14	18
8.24	-12	18
7.8	-10	18
7.44	-8	18
7.16	-6	18
6.96	-4	18
6.84	-2	18
6.8	0	18
6.84	2	18
6.96	4	18
7.16	6	18
7.44	8	18
7.8	10	18
8.24	12	18
8.76	14	18
9.36	16	18
10.04	18	18
10.8	20	18
11	-20	20
10.24	-18	20
9.56	-16	20
8.96	-14	20
8.44	-12	20
8	-10	20
7.64	-8	20
7.36	-6	20
7.16	-4	20
7.04	-2	20
7	0	20
7.04	2	20
7.16	4	20
7.36	6	20
7.64	8	20
8	10	20
8.44	12	20
8.96	14	20
9.56	16	20
10.24	18	20
11	20	20
